Timestamp,Team Name,Team Captain Discord Handle,Choose your map preferences [The Reef],Choose your map preferences [Musselforge Fitness],Choose your map preferences [Starfish Mainstage],Choose your map preferences [Humpback Pump Track],Choose your map preferences [Inkblot Art Academy],Choose your map preferences [Moray Towers],Choose your map preferences [Port Mackerel],Choose your map preferences [Sturgeon Shipyard],Choose your map preferences [Manta Maria],Choose your map preferences [Kelp Dome],Choose your map preferences [Snapper Canal],Choose your map preferences [Blackbelly Skatepark],Choose your map preferences [MakoMart],Choose your map preferences [Walleye Warehouse],Choose your map preferences [Shellendorf Institute],Choose your map preferences [Arowana Mall],Choose your map preferences [Goby Arena],Choose your map preferences [Piranha Pit],Strike a ranked mode (optional),Do you prefer to play Splat Zones only?,Would you like Turf War to be included in your map lists along other modes?,Team Captain's Nintendo Switch Friend Code,Choose your map preferences [Camp Triggerfish]
5/2/2018 20:58,Project,Nyabi#5479,Neutral,Preferred,Neutral,Neutral,Preferred,Not preferred,Preferred,Preferred,Neutral,Not preferred,Not preferred,Preferred,Neutral,Preferred,Not preferred,Not preferred,Not preferred,Neutral,Clam Blitz,No,No,8482-5148-6997,Preferred
5/3/2018 7:44,Salty Sisters,§☆Velä#4136,Neutral,Preferred,Preferred,Not preferred,Neutral,Not preferred,Preferred,Preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Neutral,Not preferred,Not preferred,Preferred,,No,No,4179-4687-9293,Neutral
5/4/2018 23:13,PriZm,darthyoshi#8681,Neutral,Neutral,Not preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Neutral,Preferred,Not preferred,Neutral,Neutral,Preferred,Clam Blitz,No,No,6024-9916-5408,Neutral
5/5/2018 18:58,ClanŁess,Kiiro#6797,Preferred,Preferred,Neutral,Preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Preferred,Not preferred,Neutral,Neutral,Preferred,Clam Blitz,No,No,8184-7165-2812,Preferred
5/5/2018 23:00,Komodo,kM Pixel#6503,Preferred,Neutral,Not preferred,Neutral,Not preferred,Not preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Not preferred,Not preferred,Neutral,Clam Blitz,Yes,Yes,1798-8245-6591,Not preferred
5/6/2018 16:49,Duck Dolla Bill$,ducksauce#0143,Preferred,Preferred,Not preferred,Preferred,Neutral,Not preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Preferred,Not preferred,Neutral,Neutral,Neutral,Clam Blitz,Yes,No,6545-3451-5226,Neutral
5/6/2018 19:42,Wings Of Pegasus,ψ Skylex#7341,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Neutral,,No,No,0696-3180-2815,Neutral
5/7/2018 0:51,FireInk,Celori#7599,Neutral,Not preferred,Not preferred,Not preferred,Preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Not preferred,Neutral,,No,Yes,7649-7295-8681,Preferred
5/7/2018 2:48,Arctic Fury,ChipsAhoy#3743,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Not preferred,Neutral,,No,No,6094-4674-5803,Neutral
5/7/2018 15:02,Cactus,Zurryto🐬#8081,Preferred,Not preferred,Not preferred,Preferred,Preferred,Preferred,Not preferred,Neutral,Not preferred,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Neutral,Not preferred,Neutral,Rainmaker,Yes,No,7759-2199-3969,Neutral
