Kagura,Team Tsunami~,Rainmaker on Musselforge Fitness,Clam Blitz on Goby Arena,Splat Zones on Manta Maria
Kagura,Yatajuung,Clam Blitz on Sturgeon Shipyard,Splat Zones on Piranha Pit,Rainmaker on Inkblot Art Academy
Kagura,Splat Figthers,Rainmaker on Goby Arena,Clam Blitz on Moray Towers,Splat Zones on Humpback Pump Track
Kagura,Sbiru Meme,Rainmaker on Shellendorf Institute,Clam Blitz on Inkblot Art Academy,Splat Zones on Piranha Pit
Kagura,Team Inkling,Clam Blitz on Humpback Pump Track,Splat Zones on Inkblot Art Academy,Rainmaker on Moray Towers
Kagura,CrossInk,Rainmaker on Shellendorf Institute,Clam Blitz on Piranha Pit,Splat Zones on The Reef
Kagura,Elusivera,Clam Blitz on Sturgeon Shipyard,Splat Zones on Shellendorf Institute,Rainmaker on Walleye Warehouse
Inklings Team,Object Shredders,Rainmaker on Walleye Warehouse,Splat Zones on Goby Arena,Rainmaker on Sturgeon Shipyard
Inklings Team,Prophecy,Splat Zones on Port Mackerel,Splat Zones on Musselforge Fitness,Splat Zones on Inkblot Art Academy
Inklings Team,Ink Cartel ,Rainmaker on Inkblot Art Academy,Splat Zones on Manta Maria,Rainmaker on Port Mackerel
Inklings Team,Kagura,Rainmaker on Sturgeon Shipyard,Clam Blitz on Walleye Warehouse,Splat Zones on The Reef
Inklings Team,Element Tuzki,Rainmaker on Manta Maria,Splat Zones on Inkblot Art Academy,Rainmaker on Sturgeon Shipyard
Inklings Team,Electric Zoo,Splat Zones on Starfish Mainstage,Splat Zones on Inkblot Art Academy,Splat Zones on Musselforge Fitness
Inklings Team,Limitless,Rainmaker on MakoMart,Splat Zones on Musselforge Fitness,Rainmaker on Manta Maria
Inklings Team,Akatsuki,Rainmaker on Port Mackerel,Clam Blitz on The Reef,Splat Zones on Inkblot Art Academy
Inklings Team,Team Anonymous,Rainmaker on Manta Maria,Clam Blitz on Musselforge Fitness,Splat Zones on Inkblot Art Academy
Inklings Team,Imagine Squids,Rainmaker on Piranha Pit,Clam Blitz on Kelp Dome,Splat Zones on Goby Arena
Inklings Team,Spanish Army,Splat Zones on Starfish Mainstage,Splat Zones on Inkblot Art Academy,Splat Zones on Shellendorf Institute
Inklings Team,Konton Knights I,Rainmaker on Walleye Warehouse,Splat Zones on Goby Arena,Rainmaker on The Reef
Inklings Team,Hexagone,Rainmaker on Sturgeon Shipyard,Splat Zones on Goby Arena,Rainmaker on Inkblot Art Academy
Inklings Team,Potatoon,Rainmaker on Inkblot Art Academy,Splat Zones on MakoMart,Rainmaker on Sturgeon Shipyard
Inklings Team,Kairos,Splat Zones on Walleye Warehouse,Splat Zones on Shellendorf Institute,Splat Zones on Port Mackerel
Inklings Team,XYZ Force,Rainmaker on Moray Towers,Splat Zones on Manta Maria,Rainmaker on The Reef
Inklings Team,Squidlett Overdrive,Clam Blitz on Starfish Mainstage,Splat Zones on Walleye Warehouse,Rainmaker on Inkblot Art Academy
Inklings Team,PainTShock,Rainmaker on Shellendorf Institute,Clam Blitz on Piranha Pit,Splat Zones on Kelp Dome
Inklings Team,GanGan Galaxy,Splat Zones on Walleye Warehouse,Splat Zones on Shellendorf Institute,Splat Zones on Port Mackerel
Inklings Team,Relief,Clam Blitz on Manta Maria,Splat Zones on Humpback Pump Track,Rainmaker on Starfish Mainstage
Inklings Team,Tenacity,Rainmaker on Kelp Dome,Clam Blitz on Goby Arena,Splat Zones on Manta Maria
Inklings Team,TeamS4,Rainmaker on MakoMart,Clam Blitz on The Reef,Splat Zones on Goby Arena
Inklings Team,Polarized,Rainmaker on Inkblot Art Academy,Clam Blitz on Manta Maria,Splat Zones on Starfish Mainstage
Inklings Team,Killer Bees,Clam Blitz on Starfish Mainstage,Splat Zones on Goby Arena,Rainmaker on Shellendorf Institute
Inklings Team,Seafood Sorbet!,Clam Blitz on Inkblot Art Academy,Splat Zones on Piranha Pit,Rainmaker on Manta Maria
Inklings Team,noVC,Clam Blitz on Humpback Pump Track,Splat Zones on Moray Towers,Rainmaker on Inkblot Art Academy
Inklings Team,Cactus1,Clam Blitz on Walleye Warehouse,Splat Zones on Port Mackerel,Rainmaker on Piranha Pit
Inklings Team,Team Tsunami~,Clam Blitz on Walleye Warehouse,Splat Zones on Starfish Mainstage,Rainmaker on Piranha Pit
Inklings Team,Yatajuung,Clam Blitz on The Reef,Splat Zones on Walleye Warehouse,Rainmaker on Sturgeon Shipyard
Inklings Team,Splat Figthers,Rainmaker on Musselforge Fitness,Clam Blitz on MakoMart,Splat Zones on Piranha Pit
Inklings Team,Sbiru Meme,Clam Blitz on Humpback Pump Track,Splat Zones on Goby Arena,Rainmaker on Inkblot Art Academy
Inklings Team,Team Inkling,Clam Blitz on Humpback Pump Track,Splat Zones on Starfish Mainstage,Rainmaker on Inkblot Art Academy
Inklings Team,CrossInk,Rainmaker on Goby Arena,Clam Blitz on Moray Towers,Splat Zones on Piranha Pit
Inklings Team,Elusivera,Clam Blitz on Manta Maria,Splat Zones on Walleye Warehouse,Rainmaker on Piranha Pit
Element Tuzki,Object Shredders,Tower Control on MakoMart,Rainmaker on Humpback Pump Track,Splat Zones on Walleye Warehouse
Element Tuzki,Prophecy,Tower Control on Walleye Warehouse,Rainmaker on Manta Maria,Splat Zones on Goby Arena
Element Tuzki,Ink Cartel ,Tower Control on Moray Towers,Rainmaker on Humpback Pump Track,Splat Zones on Piranha Pit
Element Tuzki,Kagura,Rainmaker on Inkblot Art Academy,Splat Zones on Port Mackerel,Rainmaker on Humpback Pump Track
Element Tuzki,Inklings Team,Rainmaker on Walleye Warehouse,Splat Zones on Manta Maria,Rainmaker on Piranha Pit
